Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
18/08/91,Rudar Velenje,Slovan Mavrica,2,0,H
18/08/91,Domžale,Izola,0,2,A
18/08/91,Celje,Primorje,3,1,H
18/08/91,Optimizem Svoboda,Jadran Dekani,4,1,H
18/08/91,Steklar,Mura,3,1,H
18/08/91,Zagorje,Medvode Loka,4,0,H
18/08/91,Potrošnik Beltinci,Nafta,6,4,H
18/08/91,Koper,Ljubljana,1,0,H
18/08/91,Živila Naklo,Oria Rudar Trbovlje,7,1,H
18/08/91,Gorica,Maribor,3,0,H
25/08/91,Slovan Mavrica,Gorica,0,2,A
25/08/91,Nafta,Rudar Velenje,2,0,H
25/08/91,Maribor,Koper,5,0,H
25/08/91,Oria Rudar Trbovlje,Potrošnik Beltinci,0,1,A
25/08/91,Medvode Loka,Živila Naklo,1,2,A
25/08/91,Mura,Zagorje,1,1,D
25/08/91,Jadran Dekani,Steklar,0,1,A
25/08/91,Primorje,Optimizem Svoboda,2,3,A
25/08/91,Izola,Celje,5,1,H
25/08/91,Olimpija Ljubljana,Domžale,3,0,H
28/08/91,Celje,Olimpija Ljubljana,0,0,D
28/08/91,Optimizem Svoboda,Izola,0,3,A
28/08/91,Steklar,Primorje,2,1,H
28/08/91,Zagorje,Jadran Dekani,2,0,H
28/08/91,Živila Naklo,Mura,1,1,D
28/08/91,Gorica,Nafta,5,1,H
28/08/91,Koper,Slovan Mavrica,0,1,A
28/08/91,Ljubljana,Maribor,2,2,D
28/08/91,Potrošnik Beltinci,Medvode Loka,2,2,D
28/08/91,Rudar Velenje,Oria Rudar Trbovlje,1,0,H
31/08/91,Olimpija Ljubljana,Optimizem Svoboda,3,2,H
01/09/91,Domžale,Celje,0,0,D
01/09/91,Slovan Mavrica,Ljubljana,0,0,D
01/09/91,Medvode Loka,Rudar Velenje,1,1,D
01/09/91,Nafta,Koper,1,1,D
01/09/91,Oria Rudar Trbovlje,Gorica,3,2,H
01/09/91,Mura,Potrošnik Beltinci,5,1,H
01/09/91,Jadran Dekani,Živila Naklo,2,3,A
01/09/91,Primorje,Zagorje,2,1,H
01/09/91,Izola,Steklar,3,0,H
08/09/91,Optimizem Svoboda,Domžale,2,0,H
08/09/91,Steklar,Olimpija Ljubljana,0,0,D
08/09/91,Zagorje,Izola,0,0,D
08/09/91,Živila Naklo,Primorje,2,0,H
08/09/91,Potrošnik Beltinci,Jadran Dekani,3,1,H
08/09/91,Rudar Velenje,Mura,0,2,A
08/09/91,Gorica,Medvode Loka,6,0,H
08/09/91,Koper,Oria Rudar Trbovlje,1,0,H
08/09/91,Ljubljana,Nafta,1,0,H
08/09/91,Maribor,Slovan Mavrica,2,0,H
11/09/91,Celje,Optimizem Svoboda,1,1,D
11/09/91,Jadran Dekani,Rudar Velenje,0,0,D
11/09/91,Nafta,Maribor,0,1,A
11/09/91,Oria Rudar Trbovlje,Ljubljana,0,2,A
11/09/91,Medvode Loka,Koper,0,1,A
11/09/91,Mura,Gorica,2,1,H
11/09/91,Primorje,Potrošnik Beltinci,1,1,D
11/09/91,Izola,Živila Naklo,1,0,H
11/09/91,Olimpija Ljubljana,Zagorje,2,0,H
11/09/91,Domžale,Steklar,2,2,D
14/09/91,Slovan Mavrica,Nafta,2,0,H
15/09/91,Steklar,Celje,0,4,A
15/09/91,Potrošnik Beltinci,Izola,1,2,A
15/09/91,Živila Naklo,Olimpija Ljubljana,2,1,H
15/09/91,Rudar Velenje,Primorje,3,0,H
15/09/91,Zagorje,Domžale,3,0,H
15/09/91,Gorica,Jadran Dekani,5,0,H
15/09/91,Koper,Mura,2,1,H
15/09/91,Ljubljana,Medvode Loka,1,0,H
15/09/91,Maribor,Oria Rudar Trbovlje,2,0,H
21/09/91,Izola,Rudar Velenje,0,0,D
21/09/91,Optimizem Svoboda,Steklar,2,2,D
22/09/91,Oria Rudar Trbovlje,Slovan Mavrica,0,0,D
22/09/91,Medvode Loka,Maribor,2,4,A
22/09/91,Celje,Zagorje,2,1,H
22/09/91,Primorje,Gorica,1,1,D
22/09/91,Olimpija Ljubljana,Potrošnik Beltinci,6,0,H
22/09/91,Domžale,Živila Naklo,0,0,D
22/09/91,Mura,Ljubljana,3,0,H
22/09/91,Jadran Dekani,Koper,1,0,H
25/09/91,Živila Naklo,Celje,0,0,D
25/09/91,Zagorje,Optimizem Svoboda,2,0,H
25/09/91,Potrošnik Beltinci,Domžale,2,0,H
25/09/91,Rudar Velenje,Olimpija Ljubljana,0,1,A
25/09/91,Gorica,Izola,2,2,D
25/09/91,Koper,Primorje,1,0,H
25/09/91,Ljubljana,Jadran Dekani,4,0,H
25/09/91,Maribor,Mura,2,0,H
25/09/91,Slovan Mavrica,Medvode Loka,0,1,A
25/09/91,Nafta,Oria Rudar Trbovlje,3,2,H
28/09/91,Jadran Dekani,Maribor,1,3,A
29/09/91,Optimizem Svoboda,Živila Naklo,0,1,A
29/09/91,Steklar,Zagorje,4,2,H
29/09/91,Primorje,Ljubljana,1,0,H
29/09/91,Izola,Koper,1,0,H
29/09/91,Olimpija Ljubljana,Gorica,1,1,D
29/09/91,Domžale,Rudar Velenje,1,1,D
29/09/91,Celje,Potrošnik Beltinci,3,0,H
29/09/91,Medvode Loka,Nafta,2,1,H
29/09/91,Mura,Slovan Mavrica,1,2,A
06/10/91,Potrošnik Beltinci,Optimizem Svoboda,3,0,H
06/10/91,Slovan Mavrica,Jadran Dekani,5,0,H
06/10/91,Rudar Velenje,Celje,3,1,H
06/10/91,Živila Naklo,Steklar,2,1,H
06/10/91,Gorica,Domžale,1,0,H
06/10/91,Koper,Olimpija Ljubljana,1,1,D
06/10/91,Maribor,Primorje,6,2,H
06/10/91,Oria Rudar Trbovlje,Medvode Loka,2,1,H
06/10/91,Nafta,Mura,2,3,A
06/10/91,Ljubljana,Izola,2,1,H
12/10/91,Optimizem Svoboda,Rudar Velenje,1,0,H
13/10/91,Steklar,Potrošnik Beltinci,2,1,H
13/10/91,Zagorje,Živila Naklo,1,0,H
13/10/91,Celje,Gorica,0,0,D
13/10/91,Mura,Oria Rudar Trbovlje,1,0,H
13/10/91,Jadran Dekani,Nafta,0,1,A
13/10/91,Primorje,Slovan Mavrica,0,5,A
13/10/91,Izola,Maribor,1,0,H
13/10/91,Olimpija Ljubljana,Ljubljana,3,0,H
13/10/91,Domžale,Koper,0,1,A
16/10/91,Koper,Celje,4,1,H
16/10/91,Potrošnik Beltinci,Zagorje,3,2,H
16/10/91,Rudar Velenje,Steklar,6,2,H
16/10/91,Gorica,Optimizem Svoboda,2,2,D
16/10/91,Ljubljana,Domžale,2,1,H
16/10/91,Maribor,Olimpija Ljubljana,2,1,H
16/10/91,Slovan Mavrica,Izola,1,1,D
16/10/91,Nafta,Primorje,2,1,H
16/10/91,Oria Rudar Trbovlje,Jadran Dekani,3,0,H
16/10/91,Medvode Loka,Mura,1,4,A
19/10/91,Optimizem Svoboda,Koper,1,0,H
20/10/91,Steklar,Gorica,0,0,D
20/10/91,Zagorje,Rudar Velenje,4,0,H
20/10/91,Živila Naklo,Potrošnik Beltinci,1,0,H
20/10/91,Celje,Ljubljana,2,1,H
20/10/91,Jadran Dekani,Medvode Loka,1,0,H
20/10/91,Primorje,Oria Rudar Trbovlje,2,1,H
20/10/91,Izola,Nafta,4,0,H
20/10/91,Olimpija Ljubljana,Slovan Mavrica,1,0,H
20/10/91,Domžale,Maribor,0,1,A
27/10/91,Slovan Mavrica,Domžale,1,0,H
27/10/91,Nafta,Olimpija Ljubljana,1,0,H
27/10/91,Oria Rudar Trbovlje,Izola,1,0,H
27/10/91,Medvode Loka,Primorje,1,0,H
27/10/91,Mura,Jadran Dekani,0,0,D
27/10/91,Maribor,Celje,3,0,H
27/10/91,Rudar Velenje,Živila Naklo,1,3,A
27/10/91,Koper,Steklar,2,1,H
27/10/91,Gorica,Zagorje,2,1,H
27/10/91,Ljubljana,Optimizem Svoboda,0,0,D
02/11/91,Optimizem Svoboda,Maribor,3,5,A
03/11/91,Steklar,Ljubljana,1,1,D
03/11/91,Zagorje,Koper,0,1,A
03/11/91,Potrošnik Beltinci,Rudar Velenje,2,2,D
03/11/91,Celje,Slovan Mavrica,1,0,H
03/11/91,Primorje,Mura,4,0,H
03/11/91,Izola,Medvode Loka,1,0,H
03/11/91,Olimpija Ljubljana,Oria Rudar Trbovlje,2,0,H
03/11/91,Domžale,Nafta,2,0,H
03/11/91,Živila Naklo,Gorica,2,2,D
10/11/91,Slovan Mavrica,Optimizem Svoboda,3,0,H
10/11/91,Oria Rudar Trbovlje,Domžale,6,2,H
10/11/91,Medvode Loka,Olimpija Ljubljana,1,5,A
10/11/91,Mura,Izola,2,0,H
10/11/91,Jadran Dekani,Primorje,0,0,D
10/11/91,Nafta,Celje,2,2,D
10/11/91,Gorica,Potrošnik Beltinci,2,1,H
10/11/91,Koper,Živila Naklo,0,1,A
10/11/91,Ljubljana,Zagorje,3,1,H
10/11/91,Maribor,Steklar,1,0,H
16/11/91,Celje,Oria Rudar Trbovlje,2,1,H
17/11/91,Izola,Jadran Dekani,2,1,H
17/11/91,Olimpija Ljubljana,Mura,4,1,H
17/11/91,Domžale,Medvode Loka,2,0,H
17/11/91,Optimizem Svoboda,Nafta,3,0,H
