Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
14/07/12,Gorica,Maribor,1,3,A
15/07/12,Mura,Rudar Velenje,1,1,D
15/07/12,Olimpija Ljubljana,Domžale,1,2,A
15/07/12,Celje,Triglav Kranj,1,0,H
01/08/12,Aluminij,Koper,0,3,A
21/07/12,Maribor,Koper,0,0,D
22/07/12,Triglav Kranj,Aluminij,1,0,H
22/07/12,Gorica,Mura,3,1,H
22/07/12,Rudar Velenje,Olimpija Ljubljana,0,5,A
22/07/12,Domžale,Celje,0,1,A
28/07/12,Celje,Rudar Velenje,1,1,D
28/07/12,Koper,Triglav Kranj,0,0,D
29/07/12,Aluminij,Domžale,0,1,A
29/07/12,Mura,Maribor,1,3,A
29/07/12,Olimpija Ljubljana,Gorica,1,3,A
04/08/12,Gorica,Celje,1,1,D
04/08/12,Maribor,Triglav Kranj,1,0,H
04/08/12,Rudar Velenje,Aluminij,1,2,A
04/08/12,Domžale,Koper,0,1,A
05/08/12,Mura,Olimpija Ljubljana,1,2,A
11/08/12,Olimpija Ljubljana,Maribor,0,0,D
11/08/12,Koper,Rudar Velenje,1,0,H
12/08/12,Triglav Kranj,Domžale,0,1,A
12/08/12,Aluminij,Gorica,2,1,H
12/08/12,Celje,Mura,1,0,H
18/08/12,Gorica,Koper,2,0,H
18/08/12,Maribor,Domžale,2,1,H
18/08/12,Olimpija Ljubljana,Celje,2,2,D
18/08/12,Rudar Velenje,Triglav Kranj,1,0,H
19/08/12,Mura,Aluminij,1,3,A
25/08/12,Celje,Maribor,0,2,A
25/08/12,Domžale,Rudar Velenje,2,0,H
26/08/12,Aluminij,Olimpija Ljubljana,2,1,H
26/08/12,Triglav Kranj,Gorica,2,1,H
26/08/12,Koper,Mura,4,1,H
01/09/12,Gorica,Domžale,1,2,A
01/09/12,Celje,Aluminij,2,1,H
01/09/12,Olimpija Ljubljana,Koper,4,1,H
01/09/12,Maribor,Rudar Velenje,4,0,H
02/09/12,Mura,Triglav Kranj,2,1,H
15/09/12,Aluminij,Maribor,1,5,A
15/09/12,Rudar Velenje,Gorica,2,2,D
16/09/12,Triglav Kranj,Olimpija Ljubljana,0,3,A
16/09/12,Domžale,Mura,0,2,A
16/09/12,Koper,Celje,1,0,H
22/09/12,Rudar Velenje,Mura,2,1,H
22/09/12,Koper,Aluminij,0,0,D
23/09/12,Triglav Kranj,Celje,0,0,D
23/09/12,Maribor,Gorica,4,0,H
23/09/12,Domžale,Olimpija Ljubljana,0,2,A
26/09/12,Mura,Gorica,3,1,H
26/09/12,Aluminij,Triglav Kranj,1,0,H
26/09/12,Olimpija Ljubljana,Rudar Velenje,2,1,H
26/09/12,Celje,Domžale,0,0,D
26/09/12,Koper,Maribor,2,3,A
30/09/12,Triglav Kranj,Koper,4,0,H
