Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
12/07/02,Olimpija Ljubljana,Šmartno,2,2,D
13/07/02,Celje,Maribor,3,3,D
13/07/02,Koper,Mura,1,0,H
13/07/02,Rudar Velenje,Ljubljana,3,0,H
14/07/02,Gorica,Koroška Dravograd,0,0,D
14/07/02,Relax Korotan,Primorje,0,1,A
19/07/02,Ljubljana,Celje,1,1,D
20/07/02,Maribor,Koper,0,1,A
21/07/02,Gorica,Rudar Velenje,1,1,D
21/07/02,Mura,Olimpija Ljubljana,0,1,A
21/07/02,Koroška Dravograd,Primorje,4,0,H
21/07/02,Šmartno,Relax Korotan,1,1,D
26/07/02,Olimpija Ljubljana,Maribor,0,1,A
27/07/02,Celje,Gorica,2,2,D
27/07/02,Koper,Ljubljana,2,1,H
27/07/02,Rudar Velenje,Koroška Dravograd,0,1,A
28/07/02,Relax Korotan,Mura,2,0,H
28/07/02,Primorje,Šmartno,4,0,H
10/08/02,Gorica,Koper,3,0,H
10/08/02,Maribor,Relax Korotan,3,0,H
10/08/02,Rudar Velenje,Celje,2,1,H
11/08/02,Mura,Primorje,3,0,H
11/08/02,Koroška Dravograd,Šmartno,0,0,D
11/08/02,Ljubljana,Olimpija Ljubljana,0,1,A
17/08/02,Celje,Koroška Dravograd,2,1,H
17/08/02,Koper,Rudar Velenje,1,0,H
18/08/02,Primorje,Maribor,1,1,D
18/08/02,Šmartno,Mura,1,0,H
18/08/02,Relax Korotan,Ljubljana,1,1,D
18/08/02,Olimpija Ljubljana,Gorica,1,1,D
24/08/02,Celje,Koper,3,3,D
24/08/02,Gorica,Relax Korotan,2,1,H
24/08/02,Rudar Velenje,Olimpija Ljubljana,1,2,A
25/08/02,Koroška Dravograd,Mura,2,1,H
25/08/02,Ljubljana,Primorje,0,4,A
25/08/02,Maribor,Šmartno,0,0,D
30/08/02,Olimpija Ljubljana,Celje,1,0,H
31/08/02,Koper,Koroška Dravograd,3,2,H
31/08/02,Relax Korotan,Rudar Velenje,0,0,D
01/09/02,Šmartno,Ljubljana,2,2,D
01/09/02,Mura,Maribor,0,0,D
01/09/02,Primorje,Gorica,1,1,D
14/09/02,Gorica,Šmartno,1,2,A
14/09/02,Celje,Relax Korotan,0,0,D
14/09/02,Ljubljana,Mura,3,1,H
14/09/02,Rudar Velenje,Primorje,3,1,H
15/09/02,Koroška Dravograd,Maribor,0,0,D
15/09/02,Koper,Olimpija Ljubljana,0,0,D
20/09/02,Olimpija Ljubljana,Koroška Dravograd,3,0,H
20/09/02,Maribor,Ljubljana,0,2,A
21/09/02,Relax Korotan,Koper,0,1,A
22/09/02,Primorje,Celje,1,3,A
22/09/02,Mura,Gorica,5,0,H
22/09/02,Šmartno,Rudar Velenje,3,1,H
27/09/02,Olimpija Ljubljana,Relax Korotan,4,0,H
28/09/02,Celje,Šmartno,3,0,H
28/09/02,Koper,Primorje,3,0,H
28/09/02,Gorica,Maribor,0,2,A
28/09/02,Rudar Velenje,Mura,1,1,D
29/09/02,Koroška Dravograd,Ljubljana,1,0,H
05/10/02,Relax Korotan,Koroška Dravograd,2,1,H
06/10/02,Šmartno,Koper,1,1,D
06/10/02,Primorje,Olimpija Ljubljana,1,3,A
06/10/02,Maribor,Rudar Velenje,1,0,H
06/10/02,Mura,Celje,1,2,A
06/10/02,Ljubljana,Gorica,0,2,A
18/10/02,Maribor,Celje,0,3,A
20/10/02,Primorje,Relax Korotan,0,3,A
20/10/02,Mura,Koper,1,1,D
20/10/02,Koroška Dravograd,Gorica,0,0,D
20/10/02,Šmartno,Olimpija Ljubljana,0,0,D
