Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
22/07/05,Domžale,Nafta,2,0,H
23/07/05,Labod Drava,Rudar Velenje,1,0,H
23/07/05,Koper,Primorje,1,1,D
24/07/05,Gorica,Bela krajina,4,0,H
24/07/05,Celje,Maribor,0,0,D
30/07/05,Nafta,Celje,2,1,H
30/07/05,Gorica,Labod Drava,2,0,H
30/07/05,Maribor,Koper,1,2,A
31/07/05,Bela krajina,Primorje,1,0,H
31/07/05,Rudar Velenje,Domžale,0,8,A
06/08/05,Koper,Nafta,0,2,A
06/08/05,Domžale,Gorica,1,1,D
06/08/05,Celje,Rudar Velenje,2,1,H
07/08/05,Labod Drava,Bela krajina,3,0,H
07/08/05,Primorje,Maribor,2,1,H
13/08/05,Nafta,Primorje,1,0,H
13/08/05,Rudar Velenje,Koper,2,1,H
14/08/05,Bela krajina,Maribor,2,2,D
14/08/05,Labod Drava,Domžale,1,1,D
14/08/05,Gorica,Celje,2,1,H
20/08/05,Koper,Gorica,2,0,H
20/08/05,Domžale,Bela krajina,4,0,H
20/08/05,Celje,Labod Drava,2,0,H
20/08/05,Maribor,Nafta,1,0,H
24/08/05,Primorje,Rudar Velenje,6,1,H
27/08/05,Labod Drava,Koper,1,0,H
27/08/05,Gorica,Primorje,2,0,H
27/08/05,Rudar Velenje,Maribor,0,1,A
28/08/05,Bela krajina,Nafta,1,4,A
29/08/05,Domžale,Celje,5,0,H
10/09/05,Koper,Domžale,2,2,D
10/09/05,Primorje,Labod Drava,6,2,H
10/09/05,Nafta,Rudar Velenje,5,0,H
10/09/05,Celje,Bela krajina,0,3,A
11/09/05,Maribor,Gorica,2,1,H
17/09/05,Labod Drava,Maribor,0,3,A
17/09/05,Celje,Koper,3,3,D
17/09/05,Gorica,Nafta,2,0,H
18/09/05,Bela krajina,Rudar Velenje,1,0,H
18/09/05,Domžale,Primorje,3,0,H
21/09/05,Koper,Bela krajina,2,1,H
21/09/05,Primorje,Celje,1,0,H
21/09/05,Nafta,Labod Drava,1,0,H
21/09/05,Rudar Velenje,Gorica,1,2,A
21/09/05,Maribor,Domžale,0,0,D
24/09/05,Nafta,Domžale,0,1,A
24/09/05,Rudar Velenje,Labod Drava,0,0,D
24/09/05,Maribor,Celje,0,2,A
25/09/05,Primorje,Koper,2,0,H
25/09/05,Bela krajina,Gorica,1,1,D
01/10/05,Labod Drava,Gorica,1,3,A
01/10/05,Celje,Nafta,1,3,A
02/10/05,Primorje,Bela krajina,2,1,H
02/10/05,Koper,Maribor,2,3,A
03/10/05,Domžale,Rudar Velenje,4,1,H
15/10/05,Gorica,Domžale,1,1,D
15/10/05,Nafta,Koper,1,0,H
15/10/05,Bela krajina,Labod Drava,1,1,D
15/10/05,Maribor,Primorje,2,0,H
15/10/05,Rudar Velenje,Celje,0,1,A
22/10/05,Primorje,Nafta,2,0,H
22/10/05,Koper,Rudar Velenje,2,1,H
22/10/05,Domžale,Labod Drava,1,0,H
22/10/05,Celje,Gorica,2,1,H
22/10/05,Maribor,Bela krajina,1,1,D
26/10/05,Bela krajina,Domžale,1,1,D
26/10/05,Labod Drava,Celje,1,0,H
26/10/05,Nafta,Maribor,0,4,A
26/10/05,Gorica,Koper,3,0,H
26/10/05,Rudar Velenje,Primorje,0,4,A
29/10/05,Nafta,Bela krajina,1,1,D
29/10/05,Primorje,Gorica,2,2,D
29/10/05,Koper,Labod Drava,0,1,A
29/10/05,Celje,Domžale,3,2,H
29/10/05,Maribor,Rudar Velenje,1,1,D
05/11/05,Bela krajina,Celje,1,0,H
05/11/05,Labod Drava,Primorje,4,1,H
05/11/05,Domžale,Koper,4,1,H
