Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
31/07/99,Domžale,Maribor,1,4,A
31/07/99,Rudar Velenje,Koroška Dravograd,2,0,H
01/08/99,Relax Korotan,Celje,1,1,D
01/08/99,Potrošnik Beltinci,Gorica,0,0,D
01/08/99,Feroterm Pohorje,Olimpija Ljubljana,0,3,A
01/08/99,Primorje,Mura,1,0,H
06/08/99,Olimpija Ljubljana,Potrošnik Beltinci,5,0,H
07/08/99,Celje,Feroterm Pohorje,1,1,D
07/08/99,Mura,Gorica,2,0,H
07/08/99,Maribor,Rudar Velenje,4,1,H
08/08/99,Relax Korotan,Koroška Dravograd,1,2,A
08/08/99,Primorje,Domžale,5,1,H
13/08/99,Potrošnik Beltinci,Celje,0,0,D
14/08/99,Feroterm Pohorje,Koroška Dravograd,1,3,A
14/08/99,Relax Korotan,Maribor,2,4,A
14/08/99,Domžale,Mura,1,0,H
14/08/99,Rudar Velenje,Primorje,2,1,H
15/08/99,Gorica,Olimpija Ljubljana,2,1,H
20/08/99,Maribor,Feroterm Pohorje,5,0,H
21/08/99,Celje,Gorica,3,3,D
21/08/99,Mura,Olimpija Ljubljana,3,0,H
22/08/99,Domžale,Rudar Velenje,0,3,A
22/08/99,Primorje,Relax Korotan,2,2,D
22/08/99,Koroška Dravograd,Potrošnik Beltinci,2,0,H
29/08/99,Relax Korotan,Domžale,2,2,D
29/08/99,Gorica,Koroška Dravograd,1,1,D
29/08/99,Potrošnik Beltinci,Maribor,0,2,A
29/08/99,Rudar Velenje,Mura,1,2,A
30/08/99,Olimpija Ljubljana,Celje,3,0,H
31/08/99,Feroterm Pohorje,Primorje,0,0,D
11/09/99,Maribor,Gorica,4,0,H
11/09/99,Rudar Velenje,Relax Korotan,2,2,D
12/09/99,Mura,Celje,1,3,A
12/09/99,Koroška Dravograd,Olimpija Ljubljana,0,4,A
12/09/99,Primorje,Potrošnik Beltinci,2,2,D
12/09/99,Domžale,Feroterm Pohorje,2,1,H
18/09/99,Celje,Koroška Dravograd,0,0,D
19/09/99,Gorica,Primorje,5,0,H
19/09/99,Potrošnik Beltinci,Domžale,1,1,D
19/09/99,Feroterm Pohorje,Rudar Velenje,1,3,A
19/09/99,Relax Korotan,Mura,1,1,D
19/09/99,Olimpija Ljubljana,Maribor,2,4,A
25/09/99,Maribor,Celje,2,1,H
25/09/99,Rudar Velenje,Potrošnik Beltinci,1,0,H
26/09/99,Relax Korotan,Feroterm Pohorje,4,0,H
26/09/99,Domžale,Gorica,0,2,A
26/09/99,Primorje,Olimpija Ljubljana,6,0,H
26/09/99,Mura,Koroška Dravograd,2,2,D
01/10/99,Celje,Primorje,3,1,H
03/10/99,Feroterm Pohorje,Mura,0,1,A
03/10/99,Potrošnik Beltinci,Relax Korotan,1,3,A
03/10/99,Koroška Dravograd,Maribor,1,3,A
04/10/99,Gorica,Rudar Velenje,0,1,A
04/10/99,Olimpija Ljubljana,Domžale,2,0,H
15/10/99,Mura,Maribor,2,2,D
16/10/99,Rudar Velenje,Olimpija Ljubljana,0,1,A
17/10/99,Primorje,Koroška Dravograd,1,0,H
17/10/99,Domžale,Celje,5,0,H
17/10/99,Relax Korotan,Gorica,0,1,A
17/10/99,Feroterm Pohorje,Potrošnik Beltinci,2,1,H
22/10/99,Celje,Rudar Velenje,0,0,D
23/10/99,Maribor,Primorje,2,2,D
24/10/99,Potrošnik Beltinci,Mura,0,3,A
24/10/99,Gorica,Feroterm Pohorje,5,0,H
24/10/99,Olimpija Ljubljana,Relax Korotan,1,5,A
24/10/99,Koroška Dravograd,Domžale,2,4,A
29/10/99,Maribor,Domžale,3,2,H
30/10/99,Celje,Relax Korotan,2,1,H
31/10/99,Gorica,Potrošnik Beltinci,2,0,H
31/10/99,Olimpija Ljubljana,Feroterm Pohorje,3,1,H
31/10/99,Koroška Dravograd,Rudar Velenje,3,1,H
31/10/99,Mura,Primorje,1,1,D
06/11/99,Rudar Velenje,Maribor,2,2,D
07/11/99,Domžale,Primorje,3,1,H
07/11/99,Gorica,Mura,2,1,H
07/11/99,Koroška Dravograd,Relax Korotan,0,2,A
07/11/99,Feroterm Pohorje,Celje,0,0,D
07/11/99,Potrošnik Beltinci,Olimpija Ljubljana,0,5,A
14/11/99,Koroška Dravograd,Feroterm Pohorje,2,1,H
14/11/99,Celje,Potrošnik Beltinci,2,0,H
14/11/99,Primorje,Rudar Velenje,2,1,H
15/11/99,Olimpija Ljubljana,Gorica,4,0,H
24/11/99,Mura,Domžale,3,1,H
01/12/99,Maribor,Relax Korotan,0,0,D
20/11/99,Rudar Velenje,Domžale,1,0,H
21/11/99,Feroterm Pohorje,Maribor,2,1,H
21/11/99,Potrošnik Beltinci,Koroška Dravograd,1,1,D
21/11/99,Relax Korotan,Primorje,3,1,H
22/11/99,Gorica,Celje,1,0,H
01/12/99,Olimpija Ljubljana,Mura,2,1,H
03/11/99,Celje,Olimpija Ljubljana,3,0,H
28/11/99,Maribor,Potrošnik Beltinci,5,1,H
28/11/99,Mura,Rudar Velenje,0,3,A
28/11/99,Primorje,Feroterm Pohorje,1,0,H
28/11/99,Koroška Dravograd,Gorica,2,4,A
28/11/99,Domžale,Relax Korotan,1,1,D
27/02/00,Potrošnik Beltinci,Primorje,0,5,A
27/02/00,Gorica,Maribor,2,1,H
27/02/00,Olimpija Ljubljana,Koroška Dravograd,4,2,H
27/02/00,Celje,Mura,3,2,H
15/03/00,Feroterm Pohorje,Domžale,1,2,A
15/03/00,Relax Korotan,Rudar Velenje,1,0,H
04/03/00,Maribor,Olimpija Ljubljana,0,0,D
04/03/00,Rudar Velenje,Feroterm Pohorje,1,0,H
05/03/00,Domžale,Potrošnik Beltinci,4,1,H
05/03/00,Mura,Relax Korotan,0,2,A
05/03/00,Primorje,Gorica,1,0,H
05/03/00,Koroška Dravograd,Celje,1,1,D
12/03/00,Feroterm Pohorje,Relax Korotan,3,5,A
12/03/00,Potrošnik Beltinci,Rudar Velenje,1,2,A
12/03/00,Gorica,Domžale,2,0,H
12/03/00,Olimpija Ljubljana,Primorje,1,3,A
12/03/00,Celje,Maribor,1,2,A
12/03/00,Koroška Dravograd,Mura,2,1,H
18/03/00,Rudar Velenje,Gorica,3,0,H
18/03/00,Maribor,Koroška Dravograd,2,0,H
19/03/00,Primorje,Celje,2,2,D
19/03/00,Domžale,Olimpija Ljubljana,2,0,H
19/03/00,Relax Korotan,Potrošnik Beltinci,2,1,H
19/03/00,Mura,Feroterm Pohorje,2,0,H
22/03/00,Potrošnik Beltinci,Feroterm Pohorje,1,0,H
22/03/00,Gorica,Relax Korotan,2,0,H
22/03/00,Celje,Domžale,3,0,H
22/03/00,Koroška Dravograd,Primorje,0,0,D
22/03/00,Maribor,Mura,3,1,H
22/03/00,Olimpija Ljubljana,Rudar Velenje,1,2,A
26/03/00,Mura,Potrošnik Beltinci,1,0,H
26/03/00,Feroterm Pohorje,Gorica,0,0,D
26/03/00,Relax Korotan,Olimpija Ljubljana,3,2,H
26/03/00,Rudar Velenje,Celje,1,1,D
26/03/00,Domžale,Koroška Dravograd,1,1,D
26/03/00,Primorje,Maribor,1,3,A
01/04/00,Rudar Velenje,Mura,2,1,H
01/04/00,Maribor,Celje,4,0,H
02/04/00,Gorica,Domžale,2,0,H
02/04/00,Relax Korotan,Koroška Dravograd,1,2,A
02/04/00,Primorje,Feroterm Pohorje,0,0,D
02/04/00,Olimpija Ljubljana,Potrošnik Beltinci,3,3,D
04/04/00,Potrošnik Beltinci,Primorje,2,0,H
05/04/00,Feroterm Pohorje,Relax Korotan,0,1,A
05/04/00,Koroška Dravograd,Gorica,1,1,D
05/04/00,Domžale,Rudar Velenje,0,0,D
05/04/00,Mura,Maribor,1,3,A
05/04/00,Olimpija Ljubljana,Celje,2,2,D
08/04/00,Maribor,Domžale,1,0,H
09/04/00,Rudar Velenje,Koroška Dravograd,1,1,D
09/04/00,Celje,Mura,2,1,H
09/04/00,Gorica,Feroterm Pohorje,1,0,H
09/04/00,Relax Korotan,Potrošnik Beltinci,1,2,A
09/04/00,Primorje,Olimpija Ljubljana,3,2,H
12/04/00,Primorje,Celje,2,2,D
12/04/00,Potrošnik Beltinci,Gorica,0,3,A
12/04/00,Feroterm Pohorje,Rudar Velenje,2,3,A
12/04/00,Koroška Dravograd,Maribor,0,3,A
12/04/00,Domžale,Mura,0,0,D
12/04/00,Olimpija Ljubljana,Relax Korotan,0,2,A
