Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
01/08/98,Koper,Celje,1,1,D
01/08/98,Maribor,Triglav Kranj,3,2,H
02/08/98,Olimpija Ljubljana,Primorje,1,0,H
02/08/98,Rudar Velenje,Potrošnik Beltinci,2,0,H
02/08/98,Mura,Relax Korotan,4,0,H
02/08/98,Gorica,Domžale,3,0,H
08/08/98,Primorje,Maribor,0,1,A
08/08/98,Triglav Kranj,Mura,0,0,D
09/08/98,Celje,Gorica,2,1,H
09/08/98,Potrošnik Beltinci,Relax Korotan,2,1,H
09/08/98,Rudar Velenje,Koper,2,1,H
09/08/98,Domžale,Olimpija Ljubljana,0,3,A
15/08/98,Koper,Potrošnik Beltinci,0,1,A
15/08/98,Maribor,Domžale,4,0,H
16/08/98,Mura,Primorje,2,1,H
16/08/98,Relax Korotan,Triglav Kranj,1,0,H
16/08/98,Olimpija Ljubljana,Celje,3,0,H
16/08/98,Gorica,Rudar Velenje,2,1,H
21/08/98,Celje,Maribor,0,0,D
21/08/98,Domžale,Mura,0,1,A
23/08/98,Primorje,Relax Korotan,3,2,H
23/08/98,Rudar Velenje,Olimpija Ljubljana,1,2,A
23/08/98,Koper,Gorica,2,3,A
23/08/98,Potrošnik Beltinci,Triglav Kranj,4,1,H
30/08/98,Triglav Kranj,Primorje,0,0,D
30/08/98,Olimpija Ljubljana,Koper,2,3,A
30/08/98,Gorica,Potrošnik Beltinci,3,1,H
30/08/98,Relax Korotan,Domžale,0,1,A
30/08/98,Mura,Celje,0,1,A
30/08/98,Maribor,Rudar Velenje,1,0,H
11/09/98,Koper,Maribor,2,1,H
13/09/98,Potrošnik Beltinci,Primorje,1,1,D
13/09/98,Gorica,Olimpija Ljubljana,4,1,H
13/09/98,Rudar Velenje,Mura,2,2,D
13/09/98,Celje,Relax Korotan,1,1,D
13/09/98,Domžale,Triglav Kranj,0,0,D
19/09/98,Maribor,Gorica,1,0,H
20/09/98,Olimpija Ljubljana,Potrošnik Beltinci,1,0,H
20/09/98,Mura,Koper,6,2,H
20/09/98,Relax Korotan,Rudar Velenje,1,1,D
20/09/98,Triglav Kranj,Celje,1,0,H
20/09/98,Primorje,Domžale,0,0,D
25/09/98,Olimpija Ljubljana,Maribor,1,4,A
27/09/98,Gorica,Mura,3,1,H
27/09/98,Koper,Relax Korotan,0,1,A
27/09/98,Rudar Velenje,Triglav Kranj,1,0,H
27/09/98,Celje,Primorje,3,0,H
27/09/98,Potrošnik Beltinci,Domžale,2,0,H
04/10/98,Domžale,Celje,2,2,D
04/10/98,Primorje,Rudar Velenje,2,0,H
04/10/98,Triglav Kranj,Koper,1,1,D
04/10/98,Relax Korotan,Gorica,0,0,D
04/10/98,Maribor,Potrošnik Beltinci,5,1,H
04/10/98,Mura,Olimpija Ljubljana,0,0,D
18/10/98,Olimpija Ljubljana,Relax Korotan,3,4,A
18/10/98,Koper,Primorje,0,2,A
18/10/98,Rudar Velenje,Domžale,1,3,A
18/10/98,Potrošnik Beltinci,Celje,4,1,H
18/10/98,Gorica,Triglav Kranj,3,1,H
18/10/98,Maribor,Mura,4,1,H
25/10/98,Domžale,Koper,4,0,H
25/10/98,Primorje,Gorica,0,2,A
25/10/98,Triglav Kranj,Olimpija Ljubljana,2,2,D
25/10/98,Relax Korotan,Maribor,1,4,A
25/10/98,Celje,Rudar Velenje,0,0,D
25/10/98,Mura,Potrošnik Beltinci,3,0,H
30/10/98,Celje,Koper,0,1,A
31/10/98,Relax Korotan,Mura,1,1,D
31/10/98,Triglav Kranj,Maribor,2,2,D
31/10/98,Primorje,Olimpija Ljubljana,3,0,H
31/10/98,Domžale,Gorica,1,1,D
31/10/98,Potrošnik Beltinci,Rudar Velenje,0,2,A
08/11/98,Koper,Rudar Velenje,1,0,H
08/11/98,Olimpija Ljubljana,Domžale,5,0,H
08/11/98,Mura,Triglav Kranj,4,0,H
08/11/98,Relax Korotan,Potrošnik Beltinci,5,0,H
08/11/98,Maribor,Primorje,1,1,D
05/12/98,Gorica,Celje,3,0,H
15/11/98,Triglav Kranj,Relax Korotan,1,2,A
15/11/98,Primorje,Mura,2,1,H
15/11/98,Domžale,Maribor,2,2,D
15/11/98,Celje,Olimpija Ljubljana,0,2,A
15/11/98,Potrošnik Beltinci,Koper,2,2,D
15/11/98,Rudar Velenje,Gorica,3,0,H
21/11/98,Olimpija Ljubljana,Rudar Velenje,0,0,D
22/11/98,Gorica,Koper,3,1,H
22/11/98,Maribor,Celje,2,2,D
22/11/98,Mura,Domžale,6,0,H
22/11/98,Relax Korotan,Primorje,2,1,H
22/11/98,Triglav Kranj,Potrošnik Beltinci,2,0,H
29/11/98,Domžale,Relax Korotan,1,3,A
29/11/98,Celje,Mura,0,1,A
29/11/98,Koper,Olimpija Ljubljana,1,1,D
29/11/98,Potrošnik Beltinci,Gorica,2,2,D
29/11/98,Primorje,Triglav Kranj,5,1,H
29/11/98,Rudar Velenje,Maribor,2,0,H
28/02/99,Olimpija Ljubljana,Gorica,2,1,H
28/02/99,Primorje,Potrošnik Beltinci,2,1,H
28/02/99,Triglav Kranj,Domžale,1,0,H
28/02/99,Mura,Rudar Velenje,0,0,D
28/02/99,Maribor,Koper,2,2,D
17/03/99,Relax Korotan,Celje,1,1,D
06/03/99,Celje,Triglav Kranj,1,0,H
06/03/99,Gorica,Maribor,2,5,A
06/03/99,Rudar Velenje,Relax Korotan,2,0,H
07/03/99,Koper,Mura,0,3,A
07/03/99,Potrošnik Beltinci,Olimpija Ljubljana,2,0,H
07/03/99,Domžale,Primorje,3,1,H
13/03/99,Maribor,Olimpija Ljubljana,3,1,H
14/03/99,Domžale,Potrošnik Beltinci,3,0,H
14/03/99,Primorje,Celje,0,0,D
14/03/99,Triglav Kranj,Rudar Velenje,0,1,A
14/03/99,Relax Korotan,Koper,3,0,H
14/03/99,Mura,Gorica,0,1,A
19/03/99,Olimpija Ljubljana,Mura,0,1,A
20/03/99,Rudar Velenje,Primorje,4,1,H
21/03/99,Potrošnik Beltinci,Maribor,1,2,A
21/03/99,Koper,Triglav Kranj,0,2,A
21/03/99,Celje,Domžale,0,0,D
21/03/99,Gorica,Relax Korotan,1,0,H
03/04/99,Celje,Potrošnik Beltinci,0,1,A
03/04/99,Domžale,Rudar Velenje,0,1,A
03/04/99,Primorje,Koper,0,1,A
03/04/99,Triglav Kranj,Gorica,0,2,A
03/04/99,Relax Korotan,Olimpija Ljubljana,2,1,H
03/04/99,Mura,Maribor,1,0,H
10/04/99,Potrošnik Beltinci,Mura,2,0,H
10/04/99,Maribor,Relax Korotan,3,0,H
10/04/99,Rudar Velenje,Celje,0,0,D
11/04/99,Olimpija Ljubljana,Triglav Kranj,1,1,D
11/04/99,Gorica,Primorje,2,1,H
11/04/99,Koper,Domžale,3,1,H
17/04/99,Maribor,Potrošnik Beltinci,1,1,D
17/04/99,Rudar Velenje,Celje,2,1,H
18/04/99,Gorica,Primorje,1,1,D
18/04/99,Mura,Koper,1,0,H
18/04/99,Olimpija Ljubljana,Triglav Kranj,4,1,H
18/04/99,Relax Korotan,Domžale,0,0,D
21/04/99,Olimpija Ljubljana,Potrošnik Beltinci,6,0,H
21/04/99,Triglav Kranj,Relax Korotan,1,2,A
21/04/99,Domžale,Rudar Velenje,0,1,A
21/04/99,Celje,Mura,3,1,H
21/04/99,Koper,Gorica,0,0,D
21/04/99,Primorje,Maribor,1,0,H
24/04/99,Mura,Domžale,1,2,A
24/04/99,Maribor,Koper,5,0,H
24/04/99,Rudar Velenje,Triglav Kranj,3,1,H
25/04/99,Gorica,Celje,0,1,A
25/04/99,Relax Korotan,Olimpija Ljubljana,0,3,A
25/04/99,Potrošnik Beltinci,Primorje,0,2,A
02/05/99,Relax Korotan,Potrošnik Beltinci,2,0,H
02/05/99,Olimpija Ljubljana,Rudar Velenje,1,1,D
02/05/99,Triglav Kranj,Mura,2,1,H
02/05/99,Domžale,Gorica,0,0,D
02/05/99,Celje,Maribor,0,0,D
02/05/99,Koper,Primorje,0,1,A
05/05/99,Primorje,Celje,2,1,H
05/05/99,Gorica,Triglav Kranj,0,0,D
05/05/99,Mura,Olimpija Ljubljana,2,0,H
05/05/99,Maribor,Domžale,1,1,D
05/05/99,Rudar Velenje,Relax Korotan,1,2,A
06/05/99,Potrošnik Beltinci,Koper,2,2,D
08/05/99,Rudar Velenje,Potrošnik Beltinci,2,1,H
09/05/99,Relax Korotan,Mura,1,2,A
09/05/99,Olimpija Ljubljana,Gorica,0,1,A
09/05/99,Triglav Kranj,Maribor,1,3,A
09/05/99,Domžale,Primorje,4,1,H
09/05/99,Celje,Koper,1,0,H
15/05/99,Gorica,Relax Korotan,3,0,H
15/05/99,Mura,Rudar Velenje,4,0,H
15/05/99,Maribor,Olimpija Ljubljana,5,0,H
16/05/99,Primorje,Triglav Kranj,1,1,D
16/05/99,Potrošnik Beltinci,Celje,0,1,A
16/05/99,Koper,Domžale,0,4,A
