Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
30/07/04,Celje,Labod Drava,0,1,A
31/07/04,Koper,Gorica,0,2,A
01/08/04,Primorje,Bela krajina,4,0,H
01/08/04,Ljubljana,Zagorje,2,0,H
01/08/04,Maribor,Mura,1,1,D
25/08/04,Domžale,Olimpija Ljubljana,0,1,A
06/08/04,Celje,Koper,3,0,H
07/08/04,Bela krajina,Maribor,1,2,A
08/08/04,Labod Drava,Mura,2,0,H
08/08/04,Zagorje,Domžale,3,2,H
08/08/04,Gorica,Ljubljana,0,0,D
15/09/04,Olimpija Ljubljana,Primorje,2,1,H
14/08/04,Koper,Labod Drava,0,0,D
14/08/04,Ljubljana,Celje,0,2,A
15/08/04,Primorje,Zagorje,0,0,D
15/08/04,Mura,Bela krajina,3,1,H
15/08/04,Domžale,Gorica,1,2,A
20/10/04,Maribor,Olimpija Ljubljana,0,3,A
20/08/04,Gorica,Primorje,0,0,D
20/08/04,Celje,Domžale,2,3,A
21/08/04,Zagorje,Maribor,0,0,D
21/08/04,Koper,Ljubljana,2,2,D
21/08/04,Olimpija Ljubljana,Mura,0,2,A
22/08/04,Labod Drava,Bela krajina,0,1,A
28/08/04,Ljubljana,Labod Drava,1,1,D
29/08/04,Primorje,Celje,1,0,H
29/08/04,Mura,Zagorje,2,0,H
29/08/04,Bela krajina,Olimpija Ljubljana,1,0,H
29/08/04,Domžale,Koper,1,1,D
29/08/04,Maribor,Gorica,1,2,A
10/09/04,Ljubljana,Domžale,1,1,D
11/09/04,Labod Drava,Olimpija Ljubljana,0,0,D
11/09/04,Koper,Primorje,1,0,H
11/09/04,Gorica,Mura,2,0,H
12/09/04,Zagorje,Bela krajina,1,1,D
12/09/04,Celje,Maribor,2,2,D
18/09/04,Olimpija Ljubljana,Zagorje,1,0,H
19/09/04,Primorje,Ljubljana,0,0,D
19/09/04,Mura,Celje,0,0,D
19/09/04,Bela krajina,Gorica,0,1,A
19/09/04,Maribor,Koper,0,0,D
19/09/04,Domžale,Labod Drava,3,2,H
22/09/04,Labod Drava,Zagorje,2,1,H
22/09/04,Koper,Mura,0,0,D
22/09/04,Ljubljana,Maribor,1,2,A
22/09/04,Domžale,Primorje,1,2,A
22/09/04,Celje,Bela krajina,2,0,H
22/09/04,Gorica,Olimpija Ljubljana,2,0,H
26/09/04,Primorje,Labod Drava,0,0,D
26/09/04,Mura,Ljubljana,1,2,A
26/09/04,Bela krajina,Koper,1,4,A
26/09/04,Zagorje,Gorica,1,3,A
26/09/04,Maribor,Domžale,1,1,D
26/09/04,Olimpija Ljubljana,Celje,1,4,A
02/10/04,Koper,Olimpija Ljubljana,1,1,D
02/10/04,Ljubljana,Bela krajina,1,1,D
03/10/04,Primorje,Maribor,3,1,H
03/10/04,Labod Drava,Gorica,2,2,D
03/10/04,Domžale,Mura,0,0,D
03/10/04,Celje,Zagorje,2,0,H
15/10/04,Olimpija Ljubljana,Ljubljana,4,1,H
16/10/04,Maribor,Labod Drava,2,1,H
17/10/04,Mura,Primorje,2,2,D
17/10/04,Zagorje,Koper,1,0,H
17/10/04,Bela krajina,Domžale,1,2,A
17/10/04,Gorica,Celje,0,1,A
23/10/04,Labod Drava,Celje,1,0,H
23/10/04,Olimpija Ljubljana,Domžale,1,1,D
24/10/04,Mura,Maribor,2,3,A
24/10/04,Zagorje,Ljubljana,1,1,D
24/10/04,Bela krajina,Primorje,1,0,H
03/11/04,Gorica,Koper,2,0,H
30/10/04,Koper,Celje,0,1,A
30/10/04,Ljubljana,Gorica,4,0,H
31/10/04,Mura,Labod Drava,3,1,H
31/10/04,Primorje,Olimpija Ljubljana,2,0,H
31/10/04,Domžale,Zagorje,0,0,D
31/10/04,Maribor,Bela krajina,5,0,H
06/11/04,Labod Drava,Koper,3,2,H
07/11/04,Bela krajina,Mura,2,2,D
07/11/04,Celje,Ljubljana,3,0,H
07/11/04,Gorica,Domžale,2,0,H
07/11/04,Olimpija Ljubljana,Maribor,1,0,H
04/12/04,Zagorje,Primorje,0,1,A
13/11/04,Ljubljana,Koper,2,0,H
14/11/04,Mura,Olimpija Ljubljana,1,1,D
14/11/04,Primorje,Gorica,2,3,A
14/11/04,Domžale,Celje,2,0,H
14/11/04,Bela krajina,Labod Drava,2,3,A
14/11/04,Maribor,Zagorje,2,0,H
20/11/04,Labod Drava,Ljubljana,2,4,A
20/11/04,Koper,Domžale,0,2,A
20/11/04,Gorica,Maribor,2,1,H
21/11/04,Olimpija Ljubljana,Bela krajina,2,0,H
21/11/04,Zagorje,Mura,0,3,A
21/11/04,Celje,Primorje,2,0,H
26/11/04,Olimpija Ljubljana,Labod Drava,2,1,H
27/11/04,Mura,Gorica,1,2,A
27/11/04,Domžale,Ljubljana,6,1,H
27/11/04,Bela krajina,Zagorje,1,0,H
27/11/04,Maribor,Celje,2,0,H
28/11/04,Primorje,Koper,2,1,H
05/03/05,Koper,Maribor,1,3,A
05/03/05,Gorica,Bela krajina,1,1,D
05/03/05,Ljubljana,Primorje,3,0,H
06/03/05,Zagorje,Olimpija Ljubljana,2,2,D
06/03/05,Celje,Mura,2,0,H
22/03/05,Labod Drava,Domžale,0,1,A
12/03/05,Olimpija Ljubljana,Gorica,2,3,A
12/03/05,Primorje,Domžale,3,1,H
12/03/05,Maribor,Ljubljana,0,2,A
13/03/05,Mura,Koper,1,3,A
13/03/05,Bela krajina,Celje,2,1,H
13/03/05,Zagorje,Labod Drava,0,1,A
16/03/05,Labod Drava,Primorje,0,2,A
16/03/05,Koper,Bela krajina,1,1,D
16/03/05,Domžale,Maribor,2,1,H
16/03/05,Ljubljana,Mura,1,4,A
16/03/05,Celje,Olimpija Ljubljana,4,1,H
16/03/05,Gorica,Zagorje,6,0,H
19/03/05,Gorica,Labod Drava,1,2,A
19/03/05,Zagorje,Celje,1,1,D
19/03/05,Olimpija Ljubljana,Koper,2,0,H
19/03/05,Mura,Domžale,2,0,H
19/03/05,Maribor,Primorje,1,0,H
19/03/05,Bela krajina,Ljubljana,1,1,D
02/04/05,Labod Drava,Maribor,2,0,H
02/04/05,Primorje,Mura,3,1,H
02/04/05,Koper,Zagorje,3,0,H
02/04/05,Domžale,Bela krajina,3,1,H
02/04/05,Ljubljana,Olimpija Ljubljana,0,1,A
03/04/05,Celje,Gorica,1,1,D
09/04/05,Maribor,Zagorje,3,0,H
09/04/05,Ljubljana,Koper,0,1,A
09/04/05,Gorica,Labod Drava,0,0,D
10/04/05,Mura,Bela krajina,0,0,D
10/04/05,Celje,Domžale,3,1,H
20/04/05,Primorje,Olimpija Ljubljana,0,0,D
13/04/05,Zagorje,Bela krajina,1,3,A
13/04/05,Koper,Mura,0,2,A
13/04/05,Labod Drava,Olimpija Ljubljana,4,1,H
13/04/05,Domžale,Primorje,1,1,D
13/04/05,Maribor,Ljubljana,3,0,H
14/04/05,Gorica,Celje,2,0,H
16/04/05,Mura,Maribor,1,3,A
16/04/05,Ljubljana,Zagorje,2,1,H
17/04/05,Olimpija Ljubljana,Domžale,1,3,A
17/04/05,Bela krajina,Koper,1,0,H
17/04/05,Primorje,Gorica,0,2,A
17/04/05,Celje,Labod Drava,1,2,A
23/04/05,Ljubljana,Mura,0,0,D
23/04/05,Labod Drava,Domžale,0,1,A
23/04/05,Maribor,Bela krajina,2,0,H
24/04/05,Zagorje,Koper,2,4,A
24/04/05,Celje,Primorje,1,0,H
24/04/05,Gorica,Olimpija Ljubljana,2,0,H
30/04/05,Mura,Zagorje,2,1,H
30/04/05,Bela krajina,Ljubljana,3,0,H
30/04/05,Koper,Maribor,3,1,H
01/05/05,Primorje,Labod Drava,1,1,D
01/05/05,Olimpija Ljubljana,Celje,0,6,A
01/05/05,Domžale,Gorica,1,1,D
07/05/05,Labod Drava,Gorica,0,0,D
07/05/05,Koper,Ljubljana,1,1,D
07/05/05,Domžale,Celje,1,0,H
08/05/05,Olimpija Ljubljana,Primorje,2,3,A
08/05/05,Bela krajina,Mura,1,1,D
08/05/05,Zagorje,Maribor,0,2,A
14/05/05,Mura,Koper,3,2,H
14/05/05,Ljubljana,Maribor,1,0,H
14/05/05,Celje,Gorica,0,1,A
15/05/05,Olimpija Ljubljana,Labod Drava,0,2,A
15/05/05,Primorje,Domžale,0,1,A
15/05/05,Bela krajina,Zagorje,0,0,D
21/05/05,Labod Drava,Celje,0,1,A
21/05/05,Gorica,Primorje,1,1,D
21/05/05,Koper,Bela krajina,1,0,H
21/05/05,Domžale,Olimpija Ljubljana,3,0,H
21/05/05,Maribor,Mura,2,0,H
22/05/05,Zagorje,Ljubljana,1,3,A
25/05/05,Koper,Zagorje,5,0,H
25/05/05,Bela krajina,Maribor,3,0,H
25/05/05,Mura,Ljubljana,1,1,D
25/05/05,Olimpija Ljubljana,Gorica,1,1,D
25/05/05,Primorje,Celje,2,0,H
25/05/05,Domžale,Labod Drava,3,3,D
28/05/05,Labod Drava,Primorje,1,1,D
28/05/05,Celje,Olimpija Ljubljana,2,1,H
28/05/05,Gorica,Domžale,0,0,D
28/05/05,Zagorje,Mura,1,2,A
28/05/05,Ljubljana,Bela krajina,0,0,D
28/05/05,Maribor,Koper,1,1,D
