Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
12/07/13,Maribor,Zavrč,2,1,H
13/07/13,Koper,Krka,2,1,H
13/07/13,Olimpija Ljubljana,Rudar Velenje,1,2,A
14/07/13,Triglav Kranj,Gorica,0,1,A
31/07/13,Celje,Domžale,0,0,D
20/07/13,Domžale,Triglav Kranj,2,2,D
20/07/13,Krka,Gorica,1,1,D
20/07/13,Rudar Velenje,Maribor,0,3,A
20/07/13,Zavrč,Celje,2,1,H
21/07/13,Koper,Olimpija Ljubljana,1,1,D
27/07/13,Maribor,Koper,6,1,H
27/07/13,Celje,Rudar Velenje,0,1,A
27/07/13,Gorica,Domžale,1,2,A
28/07/13,Triglav Kranj,Zavrč,1,2,A
28/07/13,Olimpija Ljubljana,Krka,5,0,H
02/08/13,Zavrč,Gorica,0,2,A
03/08/13,Koper,Celje,1,1,D
03/08/13,Krka,Domžale,3,0,H
03/08/13,Rudar Velenje,Triglav Kranj,3,0,H
02/03/14,Olimpija Ljubljana,Maribor,0,3,A
10/08/13,Celje,Olimpija Ljubljana,2,3,A
10/08/13,Triglav Kranj,Koper,0,3,A
10/08/13,Gorica,Rudar Velenje,1,1,D
10/08/13,Maribor,Krka,3,0,H
10/08/13,Domžale,Zavrč,1,1,D
16/08/13,Maribor,Celje,5,1,H
17/08/13,Krka,Zavrč,3,4,A
17/08/13,Koper,Gorica,2,1,H
17/08/13,Rudar Velenje,Domžale,3,1,H
18/08/13,Olimpija Ljubljana,Triglav Kranj,3,1,H
24/08/13,Triglav Kranj,Maribor,0,1,A
24/08/13,Domžale,Koper,0,1,A
24/08/13,Gorica,Olimpija Ljubljana,4,1,H
24/08/13,Celje,Krka,2,0,H
24/08/13,Zavrč,Rudar Velenje,2,1,H
31/08/13,Olimpija Ljubljana,Domžale,0,3,A
31/08/13,Maribor,Gorica,1,1,D
31/08/13,Celje,Triglav Kranj,1,0,H
31/08/13,Koper,Zavrč,1,1,D
02/10/13,Krka,Rudar Velenje,0,0,D
13/09/13,Zavrč,Olimpija Ljubljana,2,1,H
14/09/13,Domžale,Maribor,0,1,A
14/09/13,Rudar Velenje,Koper,1,0,H
14/09/13,Gorica,Celje,2,0,H
15/09/13,Triglav Kranj,Krka,1,0,H
21/09/13,Krka,Koper,0,1,A
21/09/13,Rudar Velenje,Olimpija Ljubljana,1,2,A
21/09/13,Gorica,Triglav Kranj,3,1,H
21/09/13,Domžale,Celje,4,0,H
22/09/13,Zavrč,Maribor,1,0,H
25/09/13,Triglav Kranj,Domžale,0,3,A
25/09/13,Celje,Zavrč,2,1,H
25/09/13,Olimpija Ljubljana,Koper,1,0,H
25/09/13,Maribor,Rudar Velenje,1,1,D
25/09/13,Gorica,Krka,1,2,A
28/09/13,Krka,Olimpija Ljubljana,1,0,H
28/09/13,Domžale,Gorica,1,1,D
28/09/13,Rudar Velenje,Celje,1,0,H
28/09/13,Zavrč,Triglav Kranj,2,1,H
28/09/13,Koper,Maribor,2,1,H
05/10/13,Celje,Koper,0,3,A
05/10/13,Gorica,Zavrč,4,0,H
05/10/13,Domžale,Krka,4,0,H
06/10/13,Triglav Kranj,Rudar Velenje,1,1,D
06/10/13,Maribor,Olimpija Ljubljana,2,0,H
18/10/13,Zavrč,Domžale,2,2,D
19/10/13,Krka,Maribor,0,5,A
19/10/13,Rudar Velenje,Gorica,2,1,H
19/10/13,Koper,Triglav Kranj,2,0,H
19/10/13,Olimpija Ljubljana,Celje,0,2,A
25/10/13,Zavrč,Krka,3,0,H
26/10/13,Triglav Kranj,Olimpija Ljubljana,1,0,H
26/10/13,Domžale,Rudar Velenje,0,0,D
26/10/13,Gorica,Koper,3,0,H
27/10/13,Celje,Maribor,1,0,H
02/11/13,Krka,Celje,0,1,A
02/11/13,Olimpija Ljubljana,Gorica,2,2,D
02/11/13,Koper,Domžale,1,0,H
03/11/13,Rudar Velenje,Zavrč,3,0,H
03/11/13,Maribor,Triglav Kranj,1,2,A
08/11/13,Zavrč,Koper,1,0,H
09/11/13,Domžale,Olimpija Ljubljana,1,2,A
10/11/13,Triglav Kranj,Celje,2,2,D
10/11/13,Gorica,Maribor,1,2,A
12/11/13,Rudar Velenje,Krka,0,1,A
23/11/13,Maribor,Domžale,5,3,H
23/11/13,Olimpija Ljubljana,Zavrč,3,2,H
23/11/13,Koper,Rudar Velenje,1,0,H
26/11/13,Krka,Triglav Kranj,2,2,D
26/11/13,Celje,Gorica,0,1,A
30/11/13,Koper,Krka,2,1,H
01/12/13,Triglav Kranj,Gorica,1,5,A
01/12/13,Maribor,Zavrč,3,4,A
01/12/13,Olimpija Ljubljana,Rudar Velenje,0,3,A
03/12/13,Celje,Domžale,0,0,D
06/12/13,Zavrč,Celje,3,0,H
07/12/13,Krka,Gorica,0,1,A
07/12/13,Domžale,Triglav Kranj,4,1,H
07/12/13,Rudar Velenje,Maribor,0,1,A
