Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
03/08/96,Mura,Potrošnik Beltinci,1,3,A
04/08/96,Maribor,Olimpija Ljubljana,0,0,D
04/08/96,Celje,Primorje,2,1,H
04/08/96,Gorica,Rudar Velenje,0,1,A
04/08/96,Koper,Relax Korotan,0,0,D
10/08/96,Maribor,Gorica,3,0,H
11/08/96,Rudar Velenje,Mura,0,0,D
11/08/96,Potrošnik Beltinci,Celje,2,1,H
11/08/96,Olimpija Ljubljana,Relax Korotan,0,1,A
11/08/96,Primorje,Koper,5,0,H
17/08/96,Mura,Maribor,1,1,D
18/08/96,Relax Korotan,Primorje,0,0,D
18/08/96,Celje,Rudar Velenje,1,2,A
18/08/96,Gorica,Olimpija Ljubljana,2,0,H
18/08/96,Koper,Potrošnik Beltinci,3,2,H
24/08/96,Maribor,Celje,3,2,H
25/08/96,Olimpija Ljubljana,Primorje,1,1,D
25/08/96,Rudar Velenje,Koper,1,0,H
25/08/96,Potrošnik Beltinci,Relax Korotan,2,1,H
25/08/96,Gorica,Mura,2,0,H
04/09/96,Mura,Olimpija Ljubljana,3,0,H
04/09/96,Koper,Maribor,2,1,H
04/09/96,Primorje,Potrošnik Beltinci,7,0,H
04/09/96,Celje,Gorica,1,1,D
04/09/96,Relax Korotan,Rudar Velenje,0,1,A
08/09/96,Gorica,Koper,2,0,H
08/09/96,Rudar Velenje,Primorje,1,1,D
08/09/96,Olimpija Ljubljana,Potrošnik Beltinci,1,1,D
08/09/96,Mura,Celje,2,1,H
08/09/96,Maribor,Relax Korotan,5,0,H
15/09/96,Potrošnik Beltinci,Rudar Velenje,1,1,D
15/09/96,Relax Korotan,Gorica,0,0,D
15/09/96,Celje,Olimpija Ljubljana,1,0,H
15/09/96,Primorje,Maribor,1,0,H
15/09/96,Koper,Mura,0,1,A
22/09/96,Mura,Relax Korotan,2,0,H
22/09/96,Olimpija Ljubljana,Rudar Velenje,1,2,A
22/09/96,Celje,Koper,6,2,H
22/09/96,Gorica,Primorje,1,2,A
22/09/96,Maribor,Potrošnik Beltinci,4,1,H
29/09/96,Rudar Velenje,Maribor,1,6,A
29/09/96,Relax Korotan,Celje,0,0,D
29/09/96,Potrošnik Beltinci,Gorica,0,3,A
29/09/96,Koper,Olimpija Ljubljana,0,0,D
29/09/96,Primorje,Mura,3,0,H
06/10/96,Celje,Relax Korotan,3,1,H
06/10/96,Mura,Primorje,1,3,A
06/10/96,Olimpija Ljubljana,Koper,3,1,H
06/10/96,Gorica,Potrošnik Beltinci,1,0,H
06/10/96,Maribor,Rudar Velenje,2,1,H
12/10/96,Olimpija Ljubljana,Maribor,1,0,H
13/10/96,Potrošnik Beltinci,Mura,0,1,A
13/10/96,Primorje,Celje,2,0,H
13/10/96,Rudar Velenje,Gorica,1,0,H
13/10/96,Relax Korotan,Koper,2,0,H
16/10/96,Celje,Potrošnik Beltinci,1,1,D
16/10/96,Gorica,Maribor,1,1,D
16/10/96,Koper,Primorje,0,1,A
16/10/96,Mura,Rudar Velenje,1,1,D
13/11/96,Relax Korotan,Olimpija Ljubljana,0,2,A
19/10/96,Maribor,Mura,1,1,D
20/10/96,Rudar Velenje,Celje,0,1,A
20/10/96,Potrošnik Beltinci,Koper,2,1,H
20/10/96,Primorje,Relax Korotan,3,0,H
20/10/96,Olimpija Ljubljana,Gorica,3,4,A
27/10/96,Mura,Gorica,2,2,D
27/10/96,Primorje,Olimpija Ljubljana,1,1,D
27/10/96,Relax Korotan,Potrošnik Beltinci,2,0,H
27/10/96,Koper,Rudar Velenje,1,0,H
27/10/96,Celje,Maribor,1,1,D
02/11/96,Maribor,Koper,4,1,H
03/11/96,Gorica,Celje,3,3,D
03/11/96,Potrošnik Beltinci,Primorje,2,1,H
03/11/96,Olimpija Ljubljana,Mura,6,2,H
03/11/96,Rudar Velenje,Relax Korotan,3,3,D
17/11/96,Celje,Mura,3,2,H
17/11/96,Potrošnik Beltinci,Olimpija Ljubljana,1,2,A
17/11/96,Primorje,Rudar Velenje,2,0,H
17/11/96,Relax Korotan,Maribor,0,1,A
17/11/96,Koper,Gorica,0,0,D
24/11/96,Olimpija Ljubljana,Celje,2,1,H
24/11/96,Mura,Koper,1,0,H
24/11/96,Gorica,Relax Korotan,2,0,H
24/11/96,Rudar Velenje,Potrošnik Beltinci,5,0,H
24/11/96,Maribor,Primorje,1,0,H
01/12/96,Primorje,Gorica,3,0,H
01/12/96,Potrošnik Beltinci,Maribor,1,2,A
01/12/96,Rudar Velenje,Olimpija Ljubljana,2,4,A
01/12/96,Relax Korotan,Mura,1,0,H
01/12/96,Koper,Celje,1,4,A
01/03/97,Olimpija Ljubljana,Maribor,1,2,A
02/03/97,Potrošnik Beltinci,Mura,1,1,D
02/03/97,Relax Korotan,Koper,2,0,H
02/03/97,Primorje,Celje,4,0,H
02/03/97,Rudar Velenje,Gorica,1,2,A
09/03/97,Gorica,Maribor,4,2,H
09/03/97,Mura,Rudar Velenje,1,1,D
09/03/97,Celje,Potrošnik Beltinci,3,2,H
09/03/97,Relax Korotan,Olimpija Ljubljana,1,0,H
09/03/97,Koper,Primorje,0,0,D
15/03/97,Olimpija Ljubljana,Gorica,0,1,A
15/03/97,Primorje,Relax Korotan,3,1,H
15/03/97,Rudar Velenje,Celje,2,2,D
15/03/97,Maribor,Mura,0,1,A
16/03/97,Potrošnik Beltinci,Koper,2,1,H
23/03/97,Primorje,Olimpija Ljubljana,3,1,H
23/03/97,Relax Korotan,Potrošnik Beltinci,2,0,H
23/03/97,Koper,Rudar Velenje,1,2,A
23/03/97,Celje,Maribor,1,1,D
23/03/97,Mura,Gorica,1,1,D
28/03/97,Gorica,Celje,4,0,H
29/03/97,Olimpija Ljubljana,Mura,1,1,D
29/03/97,Rudar Velenje,Relax Korotan,0,0,D
29/03/97,Potrošnik Beltinci,Primorje,1,0,H
29/03/97,Maribor,Koper,3,0,H
06/04/97,Relax Korotan,Maribor,3,0,H
06/04/97,Primorje,Rudar Velenje,2,2,D
06/04/97,Celje,Mura,1,0,H
06/04/97,Potrošnik Beltinci,Olimpija Ljubljana,0,0,D
06/04/97,Koper,Gorica,2,2,D
13/04/97,Olimpija Ljubljana,Celje,2,2,D
13/04/97,Mura,Koper,1,0,H
13/04/97,Gorica,Relax Korotan,1,0,H
13/04/97,Maribor,Primorje,1,0,H
13/04/97,Rudar Velenje,Potrošnik Beltinci,1,0,H
16/04/97,Rudar Velenje,Olimpija Ljubljana,2,3,A
16/04/97,Relax Korotan,Mura,1,0,H
16/04/97,Primorje,Gorica,1,0,H
16/04/97,Koper,Celje,2,1,H
16/04/97,Potrošnik Beltinci,Maribor,0,3,A
20/04/97,Celje,Relax Korotan,2,1,H
20/04/97,Mura,Primorje,2,1,H
20/04/97,Gorica,Potrošnik Beltinci,4,2,H
20/04/97,Olimpija Ljubljana,Koper,2,0,H
20/04/97,Maribor,Rudar Velenje,2,0,H
26/04/97,Koper,Olimpija Ljubljana,2,1,H
26/04/97,Relax Korotan,Celje,0,1,A
26/04/97,Primorje,Mura,0,0,D
26/04/97,Potrošnik Beltinci,Gorica,0,0,D
26/04/97,Rudar Velenje,Maribor,0,2,A
04/05/97,Mura,Potrošnik Beltinci,2,2,D
04/05/97,Celje,Primorje,0,0,D
04/05/97,Gorica,Rudar Velenje,0,0,D
04/05/97,Koper,Relax Korotan,0,0,D
04/05/97,Maribor,Olimpija Ljubljana,5,2,H
07/05/97,Olimpija Ljubljana,Relax Korotan,1,1,D
07/05/97,Primorje,Koper,4,1,H
07/05/97,Potrošnik Beltinci,Celje,3,3,D
07/05/97,Rudar Velenje,Mura,1,1,D
07/05/97,Maribor,Gorica,2,0,H
11/05/97,Gorica,Olimpija Ljubljana,2,0,H
11/05/97,Mura,Maribor,1,1,D
11/05/97,Celje,Rudar Velenje,2,0,H
11/05/97,Koper,Potrošnik Beltinci,1,0,H
11/05/97,Relax Korotan,Primorje,2,1,H
14/05/97,Olimpija Ljubljana,Primorje,2,2,D
14/05/97,Gorica,Mura,1,1,D
14/05/97,Rudar Velenje,Koper,3,0,H
14/05/97,Potrošnik Beltinci,Relax Korotan,1,1,D
14/05/97,Maribor,Celje,3,1,H
18/05/97,Mura,Olimpija Ljubljana,0,0,D
18/05/97,Primorje,Potrošnik Beltinci,1,0,H
18/05/97,Koper,Maribor,1,1,D
18/05/97,Relax Korotan,Rudar Velenje,3,2,H
18/05/97,Celje,Gorica,0,2,A
25/05/97,Gorica,Koper,2,1,H
25/05/97,Rudar Velenje,Primorje,1,3,A
25/05/97,Olimpija Ljubljana,Potrošnik Beltinci,2,2,D
25/05/97,Mura,Celje,2,2,D
25/05/97,Maribor,Relax Korotan,2,1,H
28/05/97,Celje,Olimpija Ljubljana,2,5,A
28/05/97,Koper,Mura,2,0,H
28/05/97,Relax Korotan,Gorica,0,1,A
28/05/97,Primorje,Maribor,2,0,H
28/05/97,Potrošnik Beltinci,Rudar Velenje,1,1,D
01/06/97,Olimpija Ljubljana,Rudar Velenje,4,1,H
01/06/97,Maribor,Potrošnik Beltinci,5,1,H
01/06/97,Gorica,Primorje,1,0,H
01/06/97,Mura,Relax Korotan,0,2,A
01/06/97,Celje,Koper,0,2,A
